(0,0,NORMAL,false);(0,1,NORMAL,false);(0,2,NORMAL,false);(0,3,NORMAL,false);(0,4,NORMAL,false);(0,5,NORMAL,false);(0,6,NORMAL,false);(0,7,NORMAL,false);(0,8,NORMAL,false);(0,9,NORMAL,false);(0,10,NORMAL,false);(0,11,NORMAL,false);(0,12,NORMAL,false);(0,13,NORMAL,false);(0,14,NORMAL,false);(0,15,NORMAL,false);(0,16,NORMAL,false);(0,17,NORMAL,false);(0,18,NORMAL,false);(0,19,NORMAL,false);(0,20,NORMAL,false);(0,21,NORMAL,false);(0,22,NORMAL,false);(0,23,NORMAL,false);(0,24,NORMAL,false);(0,25,NORMAL,false);(0,26,NORMAL,false);(0,27,NORMAL,false);(0,28,NORMAL,false);(0,29,NORMAL,false);(0,30,NORMAL,false)
(1,0,NORMAL,false);(1,1,NORMAL,false);(1,2,NORMAL,false);(1,3,NORMAL,false);(1,4,NORMAL,false);(1,5,NORMAL,false);(1,6,NORMAL,false);(1,7,NORMAL,false);(1,8,NORMAL,false);(1,9,NORMAL,false);(1,10,NORMAL,false);(1,11,NORMAL,false);(1,12,NORMAL,false);(1,13,NORMAL,false);(1,14,NORMAL,false);(1,15,NORMAL,false);(1,16,NORMAL,false);(1,17,NORMAL,false);(1,18,NORMAL,false);(1,19,NORMAL,false);(1,20,NORMAL,false);(1,21,NORMAL,false);(1,22,NORMAL,false);(1,23,NORMAL,false);(1,24,NORMAL,false);(1,25,NORMAL,false);(1,26,NORMAL,false);(1,27,NORMAL,false);(1,28,NORMAL,false);(1,29,NORMAL,false);(1,30,NORMAL,false)
(2,0,NORMAL,false);(2,1,NORMAL,false);(2,2,NORMAL,false);(2,3,NORMAL,false);(2,4,NORMAL,false);(2,5,NORMAL,false);(2,6,NORMAL,false);(2,7,NORMAL,false);(2,8,NORMAL,false);(2,9,NORMAL,false);(2,10,NORMAL,false);(2,11,NORMAL,false);(2,12,NORMAL,false);(2,13,NORMAL,false);(2,14,NORMAL,false);(2,15,NORMAL,false);(2,16,NORMAL,false);(2,17,NORMAL,false);(2,18,NORMAL,false);(2,19,NORMAL,false);(2,20,NORMAL,false);(2,21,NORMAL,false);(2,22,NORMAL,false);(2,23,NORMAL,false);(2,24,NORMAL,false);(2,25,NORMAL,false);(2,26,NORMAL,false);(2,27,NORMAL,false);(2,28,NORMAL,false);(2,29,NORMAL,false);(2,30,NORMAL,false)
(3,0,NORMAL,false);(3,1,NORMAL,false);(3,2,NORMAL,false);(3,3,NORMAL,false);(3,4,NORMAL,false);(3,5,NORMAL,false);(3,6,NORMAL,false);(3,7,NORMAL,false);(3,8,NORMAL,false);(3,9,NORMAL,false);(3,10,NORMAL,false);(3,11,NORMAL,false);(3,12,NORMAL,false);(3,13,NORMAL,false);(3,14,NORMAL,false);(3,15,NORMAL,false);(3,16,NORMAL,false);(3,17,NORMAL,false);(3,18,NORMAL,false);(3,19,NORMAL,false);(3,20,NORMAL,false);(3,21,NORMAL,false);(3,22,NORMAL,false);(3,23,NORMAL,false);(3,24,NORMAL,false);(3,25,NORMAL,false);(3,26,NORMAL,false);(3,27,NORMAL,false);(3,28,NORMAL,false);(3,29,NORMAL,false);(3,30,NORMAL,false)
(4,0,NORMAL,false);(4,1,NORMAL,false);(4,2,NORMAL,false);(4,3,NORMAL,false);(4,4,NORMAL,false);(4,5,NORMAL,false);(4,6,NORMAL,false);(4,7,NORMAL,false);(4,8,NORMAL,false);(4,9,NORMAL,false);(4,10,NORMAL,false);(4,11,NORMAL,false);(4,12,NORMAL,false);(4,13,NORMAL,false);(4,14,NORMAL,false);(4,15,NORMAL,false);(4,16,NORMAL,false);(4,17,NORMAL,false);(4,18,NORMAL,false);(4,19,NORMAL,false);(4,20,NORMAL,false);(4,21,NORMAL,false);(4,22,NORMAL,false);(4,23,NORMAL,false);(4,24,NORMAL,false);(4,25,NORMAL,false);(4,26,NORMAL,false);(4,27,NORMAL,false);(4,28,NORMAL,false);(4,29,NORMAL,false);(4,30,NORMAL,false)
(5,0,NORMAL,false);(5,1,NORMAL,false);(5,2,NORMAL,false);(5,3,NORMAL,false);(5,4,NORMAL,false);(5,5,NORMAL,false);(5,6,NORMAL,false);(5,7,NORMAL,false);(5,8,NORMAL,false);(5,9,NORMAL,false);(5,10,NORMAL,false);(5,11,NORMAL,false);(5,12,NORMAL,false);(5,13,NORMAL,false);(5,14,NORMAL,false);(5,15,NORMAL,false);(5,16,NORMAL,false);(5,17,NORMAL,false);(5,18,NORMAL,false);(5,19,NORMAL,false);(5,20,NORMAL,false);(5,21,NORMAL,false);(5,22,NORMAL,false);(5,23,NORMAL,false);(5,24,NORMAL,false);(5,25,NORMAL,false);(5,26,NORMAL,false);(5,27,NORMAL,false);(5,28,NORMAL,false);(5,29,NORMAL,false);(5,30,NORMAL,false)
(6,0,NORMAL,false);(6,1,NORMAL,false);(6,2,NORMAL,false);(6,3,NORMAL,false);(6,4,NORMAL,false);(6,5,NORMAL,false);(6,6,NORMAL,false);(6,7,NORMAL,false);(6,8,NORMAL,false);(6,9,NORMAL,false);(6,10,NORMAL,false);(6,11,NORMAL,false);(6,12,NORMAL,false);(6,13,NORMAL,false);(6,14,NORMAL,false);(6,15,NORMAL,false);(6,16,NORMAL,false);(6,17,NORMAL,false);(6,18,NORMAL,false);(6,19,NORMAL,false);(6,20,NORMAL,false);(6,21,NORMAL,false);(6,22,NORMAL,false);(6,23,NORMAL,false);(6,24,NORMAL,false);(6,25,NORMAL,false);(6,26,NORMAL,false);(6,27,NORMAL,false);(6,28,NORMAL,false);(6,29,NORMAL,false);(6,30,NORMAL,false)
(7,0,NORMAL,false);(7,1,NORMAL,false);(7,2,NORMAL,false);(7,3,NORMAL,false);(7,4,NORMAL,false);(7,5,NORMAL,false);(7,6,NORMAL,false);(7,7,NORMAL,false);(7,8,NORMAL,false);(7,9,NORMAL,false);(7,10,NORMAL,false);(7,11,NORMAL,false);(7,12,NORMAL,false);(7,13,NORMAL,false);(7,14,NORMAL,false);(7,15,NORMAL,false);(7,16,NORMAL,false);(7,17,NORMAL,false);(7,18,NORMAL,false);(7,19,NORMAL,false);(7,20,NORMAL,false);(7,21,NORMAL,false);(7,22,NORMAL,false);(7,23,NORMAL,false);(7,24,NORMAL,false);(7,25,NORMAL,false);(7,26,NORMAL,false);(7,27,NORMAL,false);(7,28,NORMAL,false);(7,29,NORMAL,false);(7,30,NORMAL,false)
(8,0,NORMAL,false);(8,1,NORMAL,false);(8,2,NORMAL,false);(8,3,NORMAL,false);(8,4,NORMAL,false);(8,5,NORMAL,false);(8,6,NORMAL,false);(8,7,NORMAL,false);(8,8,NORMAL,false);(8,9,NORMAL,false);(8,10,NORMAL,false);(8,11,NORMAL,false);(8,12,NORMAL,false);(8,13,NORMAL,false);(8,14,NORMAL,false);(8,15,NORMAL,false);(8,16,NORMAL,false);(8,17,NORMAL,false);(8,18,NORMAL,false);(8,19,NORMAL,false);(8,20,NORMAL,false);(8,21,NORMAL,false);(8,22,NORMAL,false);(8,23,NORMAL,false);(8,24,NORMAL,false);(8,25,NORMAL,false);(8,26,NORMAL,false);(8,27,NORMAL,false);(8,28,NORMAL,false);(8,29,NORMAL,false);(8,30,NORMAL,false)
(9,0,NORMAL,false);(9,1,NORMAL,false);(9,2,NORMAL,false);(9,3,NORMAL,false);(9,4,NORMAL,false);(9,5,NORMAL,false);(9,6,NORMAL,false);(9,7,NORMAL,false);(9,8,NORMAL,false);(9,9,NORMAL,false);(9,10,NORMAL,false);(9,11,NORMAL,false);(9,12,NORMAL,false);(9,13,NORMAL,false);(9,14,NORMAL,false);(9,15,NORMAL,false);(9,16,NORMAL,false);(9,17,NORMAL,false);(9,18,NORMAL,false);(9,19,NORMAL,false);(9,20,NORMAL,false);(9,21,NORMAL,false);(9,22,NORMAL,false);(9,23,NORMAL,false);(9,24,NORMAL,false);(9,25,NORMAL,false);(9,26,NORMAL,false);(9,27,NORMAL,false);(9,28,NORMAL,false);(9,29,NORMAL,false);(9,30,NORMAL,false)
(10,0,NORMAL,false);(10,1,NORMAL,false);(10,2,NORMAL,false);(10,3,NORMAL,false);(10,4,NORMAL,false);(10,5,NORMAL,false);(10,6,NORMAL,false);(10,7,NORMAL,false);(10,8,NORMAL,false);(10,9,NORMAL,false);(10,10,NORMAL,false);(10,11,NORMAL,false);(10,12,NORMAL,false);(10,13,NORMAL,false);(10,14,NORMAL,false);(10,15,NORMAL,false);(10,16,NORMAL,false);(10,17,NORMAL,false);(10,18,NORMAL,false);(10,19,NORMAL,false);(10,20,NORMAL,false);(10,21,NORMAL,false);(10,22,NORMAL,false);(10,23,NORMAL,false);(10,24,NORMAL,false);(10,25,NORMAL,false);(10,26,NORMAL,false);(10,27,NORMAL,false);(10,28,NORMAL,false);(10,29,NORMAL,false);(10,30,NORMAL,false)
